Food Item,Category,Subcategory,Health Suitability,Calories,Carbs,Protein,Fats,Fiber,Vitamin A,Vitamin C,Iron,Calcium,Local Availability
Oats,Breakfast,Grains,Diabetes, Obesity, PCOD, Thyroid,389,66,16,7,11,0,0,4,54,Yes
Lentils,Lunch,Protein,Diabetes, Anemia, Thyroid,116,20,9,0.4,8,8,1,3.3,19,Yes
Banana,Breakfast,Fruit,Diabetes (in moderation), Anemia,89,23,1,0.3,2.6,64,8.7,0.3,5,Yes
Paneer,Lunch,Dairy,Kidney issues (moderate), PCOD, Obesity,265,1.2,18,20,0,9,0,0.7,208,Yes
Brown Rice,Lunch,Grains,Diabetes, Thyroid, Heart issues,123,26,2.6,1,1.8,0,0,0.4,3,Yes
Almonds,Snack,Nuts,Heart issues, Diabetes, PCOD, Obesity,579,22,21,50,12,1,0,3.7,269,Yes
Carrot,Snack,Vegetable,Diabetes, Thyroid, Obesity,41,10,0.9,0.2,2.8,835,6,0.3,33,Yes
Apple,Snack,Fruit,Diabetes, Thyroid, Obesity,52,14,0.3,0.2,2.4,54,4.6,0.1,6,Yes
Chicken Breast,Dinner,Protein,Thyroid, PCOD, Obesity, Heart issues,165,0,31,3.6,0,13,0,0.9,15,Yes
Spinach,Dinner,Vegetable,Anemia, Heart issues, PCOD, Diabetes,23,3.6,2.9,0.4,2.2,469,28,2.7,99,Yes
Sweet Potato,Lunch,Vegetable,Diabetes, PCOD, Thyroid,112,26,2,0.1,3,14187,2.4,0.6,30,Yes
Chickpeas,Lunch,Protein,Diabetes, Obesity, PCOD,164,27,9,2.6,7.6,6,4.8,2.9,49,Yes
Yogurt,Breakfast,Dairy,Obesity, Diabetes, PCOD, Calcium-deficient,59,3.6,10,0.4,0,38,0,0.1,110,Yes
Broccoli,Dinner,Vegetable,Heart issues, Thyroid, Diabetes,34,7,2.8,0.4,2.6,623,89.2,0.7,47,Yes
Mushroom,Dinner,Vegetable,Thyroid, PCOD, Diabetes,22,3.3,3.1,0.3,1,0,2.1,0.5,18,Yes
Walnuts,Snack,Nuts,Heart issues, Diabetes, Obesity,654,14,15,65,6.7,20,1.3,2.9,98,Yes
